1,4,0,36,12,8,38,5,11,47,3,13,0,1,0,2,0,1,0,5,3,4,0,1,2,0,0,1,0,3,6,0,0,0,1,2,3,4,3,5,25,7,3,39,5,21,26,23,0,10,3,28,15,16,3,4,2,0,1,11,28,16,3,5,25,7,34,24,3,5,25,7,3,27,9,21,44,23,0,10,3,28,15,36,8,2,4,17,18,31,20,12,1
4,1,10,36,25,8,4,28,19,47,3,13,0,1,2,0,0,1,0,3,6,0,0,1,0,2,0,1,0,3,4,0,3,5,25,7,3,4,3,5,25,7,3,39,5,20,12,13,8,10,3,28,15,36,4,27,4,17,18,31,20,12,7,17,18,19,3,4,0,8,1,9,5,25,6,0,10,11,21,23,3,14,15,16,8,2,4,17,18,31,20,12,0
7,11,14,15,47,35,31,55,36,44,3,4,1,0,0,2,0,1,3,0,0,6,0,5,2,0,1,0,0,5,0,4,3,5,6,7,34,19,5,32,26,23,20,27,6,0,10,11,21,23,13,14,25,16,8,2,4,33,18,31,20,12,0,0,1,2,3,4,3,5,25,7,39,3,8,3,12,27,8,1,3,14,15,16,2,8,4,33,18,31,20,12,0
11,7,56,36,34,3,4,28,19,12,21,26,0,1,2,0,1,0,0,3,0,4,1,0,0,2,0,1,3,0,0,6,15,14,6,16,3,4,3,5,25,7,39,3,6,3,12,27,8,10,3,14,15,16,2,8,4,33,18,31,20,12,0,3,4,27,34,19,0,8,1,9,5,25,5,21,44,23,13,12,9,21,26,23,14,25,10,33,18,31,20,12,1
10,3,10,1,7,8,31,45,19,29,3,13,1,0,0,2,1,0,3,0,0,6,0,1,0,2,1,0,3,0,6,0,3,5,25,7,3,4,0,8,29,9,6,5,0,0,10,11,4,27,3,28,15,36,4,27,4,33,18,31,20,12,3,5,6,7,18,24,0,8,1,9,5,25,5,32,22,23,12,13,3,14,15,16,8,2,4,17,18,31,20,4,1
3,10,28,1,12,3,4,45,19,7,35,13,0,1,0,2,6,0,5,0,4,0,1,0,0,2,1,0,3,0,0,6,7,17,34,19,3,4,0,8,29,9,5,25,5,21,22,23,12,13,3,14,15,16,8,2,4,17,34,31,20,12,3,5,25,7,21,23,0,8,1,9,25,16,0,0,10,11,4,13,13,28,25,36,4,39,4,33,18,31,20,12,1
3,10,14,1,20,23,4,28,41,25,3,31,0,1,0,2,1,0,5,0,4,0,1,0,0,2,1,0,3,0,0,6,3,5,6,7,17,18,0,8,29,9,5,6,3,28,6,36,4,13,1,14,15,16,8,2,4,17,18,31,20,12,7,17,34,19,3,4,3,5,25,16,32,38,0,3,12,13,8,10,3,28,15,36,8,2,4,17,18,31,20,12,0
16,5,45,19,34,3,4,5,11,7,21,40,1,0,0,2,1,0,0,3,0,4,1,0,0,2,0,1,3,0,4,0,3,5,6,7,21,23,0,8,1,9,5,25,8,3,12,13,8,10,3,14,15,7,8,2,4,17,18,31,20,12,3,5,25,7,21,23,3,5,25,36,3,27,0,0,10,11,4,27,9,21,26,23,25,14,10,33,18,24,28,6,1
16,5,10,19,7,8,31,14,11,12,3,13,1,0,0,2,6,0,0,1,0,6,1,0,0,2,0,6,5,0,0,6,3,5,6,7,3,4,0,8,1,9,5,25,5,21,44,23,4,27,3,28,15,7,4,27,4,17,18,31,20,12,3,5,25,7,18,17,3,5,25,36,3,27,5,21,44,23,12,13,3,14,15,16,2,8,4,17,18,19,20,12,1
15,0,5,11,2,8,9,0,1,57,3,4,0,1,0,2,0,1,3,0,6,0,0,1,2,0,5,0,0,3,0,6,3,5,25,36,19,18,3,5,25,7,3,27,8,3,12,13,8,10,3,28,15,16,4,27,0,8,29,9,30,13,0,0,1,2,3,4,1,5,25,36,8,9,8,20,4,27,0,10,3,14,15,16,8,2,4,33,18,19,20,12,1
